segment	ton	strs	syl	shrt	long	cons	son	cont	delr	appr	tap	trr	nas	lat	lab	rnd	labd	cor	ant	dist	strid	dors	hi	lo	fr	bk	tns	rtr	atr	voi	epi	sg	cg	fort	rlx	llx	clk
ɳʈʂ	0	-	-	-	-	+	+,-	-	+	-	-	-	+,-	-	-	0	0	+	-	-	+	-	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-
ɲɟʝ	0	-	-	-	-	+	+,-	-	+	-	-	-	+,-	-	-	0	0	+	-	+	-	+	+	-	+	-	0	0	0	+	-	-	-	-	-	-	-
mpf	0	-	-	-	-	+	+,-	-	+	-	-	-	+,-	-	+	-	+	-	0	0	0	-	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-
ŋɡ̟	0	-	-	-	-	+	+,-	-	-	-	-	-	+,-	-	-	0	0	-	0	0	0	+	+	-	+	-	0	0	0	+	-	-	-	-	-	-	-
n̠̥t̠ʃ	0	-	-	-	-	+	+,-	-	+	-	-	-	+,-	-	-	0	0	+	-	+	+	-	0	0	0	0	0	0	0	-	-	+	-	-	-	-	-
n̤d̤z̤	0	-	-	-	-	+	+,-	-	+	-	-	-	+,-	-	-	0	0	+	+	-	+	-	0	0	0	0	0	0	0	+	-	+	-	-	-	-	-
ŋ̤ɡǃ	0	-	-	-	-	+	+,-	-	-	-	-	-	+,-	-	-	0	0	+	+	-	-	+	+	-	-	-	0	0	0	+	-	+	-	-	-	-	+
k̟ʲʰ	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	+	0	0	0	-	-	+	-	-	-	-	-
k̟ʲʼ	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	+	0	0	0	-	-	-	+	-	+	-	-
ɣ̟ʲ	0	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	+	0	0	0	+	-	-	-	-	-	-	-
ɡ̟ʲ	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	+	0	0	0	+	-	-	-	-	-	-	-
x̟ʲ	0	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	+	0	0	0	-	-	-	-	-	-	-	-
n̠ʃ	0	-	-	-	-	+	+,-	+	+	-	-	-	+,-	-	-	0	0	+	-	+	+	-	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-
kpm	0	-	-	-	-	+	-	-	-	-	-	-	-,+	-	+	-	-	-	0	0	0	+	+	-	-	-	0	0	0	-	-	-	-	-	-	-	-
ɡbm	0	-	-	-	-	+	-	-	-	-	-	-	-,+	-	+	-	-	-	0	0	0	+	+	-	-	-	0	0	0	+	-	-	-	-	-	-	-
N	0	-	-	-	-	+	+	-	0	-	-	-	+	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-
ɢǃ	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	+	-	-	+	-	-	-	+	0	0	0	+	-	-	-	-	-	-	+
q	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	-	0	0	0	+	-	-	-	+	0	0	0	-	-	-	-	-	-	-	-
ɴɢǃqʰ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+
ɴɢǁqʰ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+
ɴɢǀqʰ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+
dʼkxʼ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-
t̪ʼkxʼ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-
pʼkxʼ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-
ɡʼkxʼ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-
d̪ʼkxʼ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-
tʼkxʼ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-
pɾ	0	-	-	-	-	+	-,+	-,+	-	-,+	-,+	-	-	-	+,-	-	-	-,+	+	-	-	-	0	0	0	0	0	0	0	-,+	-	-	-	-	-	-	-
bɾ	0	-	-	-	-	+	-,+	-,+	-	-,+	-,+	-	-	-	+,-	-	-	-,+	+	-	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-
tɾ	0	-	-	-	-	+	-,+	-,+	-	-,+	-,+	-	-	-	-	0	0	+	+	-	-	-	0	0	0	0	0	0	0	-,+	-	-	-	-	-	-	-
dɾ	0	-	-	-	-	+	-,+	-,+	-	-,+	-,+	-	-	-	-	0	0	+	+	-	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-
kɾ	0	-	-	-	-	+	-,+	-,+	-	-,+	-,+	-	-	-	-	0	0	-,+	+	-	-	+,-	+	-	-	-	0	0	0	-,+	-	-	-	-	-	-	-
ɡɾ	0	-	-	-	-	+	-,+	-,+	-	-,+	-,+	-	-	-	-	0	0	-,+	+	-	-	+,-	+	-	-	-	0	0	0	+	-	-	-	-	-	-	-
kpɾ	0	-	-	-	-	+	-,+	-,+	-	-,+	-,+	-	-	-	+,-	-	-	-,+	+	-	-	+,-	+	-	-	-	0	0	0	-,+	-	-	-	-	-	-	-
ɡbɾ	0	-	-	-	-	+	-,+	-,+	-	-,+	-,+	-	-	-	+,-	-	-	-,+	+	-	-	+,-	+	-	-	-	0	0	0	+	-	-	-	-	-	-	-
fɾ	0	-	-	-	-	+	-,+	+	+	-,+	-,+	-	-	-	+,-	-	+	-,+	+	-	-	-	0	0	0	0	0	0	0	-,+	-	-	-	-	-	-	-
vɾ	0	-	-	-	-	+	-,+	+	+	-,+	-,+	-	-	-	+,-	-	+	-,+	+	-	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-
sɾ	0	-	-	-	-	+	-,+	+	+	-,+	-,+	-	-	-	-	0	0	+	+	-	+,-	-	0	0	0	0	0	0	0	-,+	-	-	-	-	-	-	-
zɾ	0	-	-	-	-	+	-,+	+	+	-,+	-,+	-	-	-	-	0	0	+	+	-	+,-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-
t̠ʃɾ	0	-	-	-	-	+	-,+	-,+	+	-,+	-,+	-	-	-	-	0	0	+	-,+	+,-	+,-	-	0	0	0	0	0	0	0	-,+	-	-	-	-	-	-	-
d̠ʒɾ	0	-	-	-	-	+	-,+	-,+	+	-,+	-,+	-	-	-	-	0	0	+	-,+	+,-	+,-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-
mɾ	0	-	-	-	-	+	+	-,+	0	-,+	-,+	-	+,-	-	+,-	0	0	-,+	+	-	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-
nɾ	0	-	-	-	-	+	+	-,+	0	-,+	-,+	-	+,-	-	-	0	0	+	+	-	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-
ŋɾ	0	-	-	-	-	+	+	-,+	0	-,+	-,+	-	+,-	-	-	0	0	-,+	+	-	-	+,-	+	-	-	-	0	0	0	+	-	-	-	-	-	-	-
mpɾ	0	-	-	-	-	+	+,-,+	-,+	-	-,+	-,+	-	+,-	-	-	0	0	-,+	+	-	-	-	0	0	0	0	0	0	0	+,-,+	-	-	-	-	-	-	-
mbɾ	0	-	-	-	-	+	+,-,+	-,+	-	-,+	-,+	-	+,-	-	+,-	-	-	-,+	+	-	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-
ntɾ	0	-	-	-	-	+	+,-,+	-,+	-	-,+	-,+	-	+,-	-	-	0	0	+	+	-	-	-	0	0	0	0	0	0	0	+,-,+	-	-	-	-	-	-	-
ndɾ	0	-	-	-	-	+	+,-,+	-,+	-	-,+	-,+	-	+,-	-	-	0	0	+	+	-	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-
ŋkɾ	0	-	-	-	-	+	+,-,+	-,+	-	-,+	-,+	-	+,-	-	-	0	0	+	+	-	-	-	0	0	0	0	0	0	0	+,-,+	-	-	-	-	-	-	-
nɡɾ	0	-	-	-	-	+	+,-,+	-,+	-	-,+	-,+	-	+,-	-	-	0	0	+,-,+	+	-	-	-,+,-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-
ŋmkpɾ	0	-	-	-	-	+	+,-,+	-,+	-	-,+	-,+	-	+,-	-	+,-	-	-	-,+	+	-	-	-,+	+	-	-	-	0	0	0	-,+	-	-	-	-	-	-	-
ɱfɾ	0	-	-	-	-	+	+,-,+	-,+	+	-,+	-,+	-	+,-	-	+,-	-	+	-,+	+	-	-	-	0	0	0	0	0	0	0	+,-,+	-	-	-	-	-	-	-
ɱvɾ	0	-	-	-	-	+	+,-,+	-,+	+	-,+	-,+	-	+,-	-	+,-	-	+	-,+	+	-	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-
nsɾ	0	-	-	-	-	+	+,-,+	-,+	+	-,+	-,+	-	+,-	-	-	0	0	+	+	-	-,+,-	-	0	0	0	0	0	0	0	+,-,+	-	-	-	-	-	-	-
nzɾ	0	-	-	-	-	+	+,-,+	-,+	+	-,+	-,+	-	+,-	-	-	0	0	+	+	-	-,+	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-
n̠t̠ʃɾ	0	-	-	-	-	+	+,-,+	-,+	+	-,+	-,+	-	+,-	-	-	0	0	+	-,+	+,-	+,-	-	0	0	0	0	0	0	0	-,+	-	-	-	-	-	-	-
kʷɾ	0	-	-	-	-	+	-,+	-,+	-	-,+	-,+	-	-	-	+,-	+	0	-,+	+	-	-	+,-	+	-	-	-	0	0	0	-,+	-	-	-	-	-	-	-
cç	0	-	-	-	-	+	-	-	+	-	-	-	-	-	-	0	0	+	-	+	-	+	+	-	+	-	0	0	0	-	-	-	-	-	-	-	-
*R̪|*R	0	-	-	-	-	+	+	+	0	+	0	0	-	-	-	0	0	+	0	0	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-
*R̪̥|*R̥	0	-	-	-	-	+	+	+	0	+	0	0	-	-	-	0	0	+	0	0	-	-	0	0	0	0	0	0	0	-	-	+	-	-	-	-	-
*R̪̰|*R̰	0	-	-	-	-	+	+	+	0	+	0	0	-	-	-	0	0	+	0	0	-	-	0	0	0	0	0	0	0	+	-	-	+	-	-	-	-
d̪|d	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	0	0	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-
d̪̤|d̤	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	0	0	-	-	0	0	0	0	0	0	0	+	-	+	-	-	-	-	-
d̪̰|d̰	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	0	0	-	-	0	0	0	0	0	0	0	+	-	-	+	-	-	-	-
d̪ʲ|dʲ	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	0	0	-	+	+	-	+	-	0	0	0	+	-	-	-	-	-	-	-
d̪ɮ̪|dɮ	0	-	-	-	-	+	-	-	+	-	-	-	-	+	-	0	0	+	0	0	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-
d̪ʷ|dʷ	0	-	-	-	-	+	-	-	-	-	-	-	-	-	+	+	0	+	0	0	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-
d̪z̪|dz	0	-	-	-	-	+	-	-	+	-	-	-	-	-	-	0	0	+	0	0	+	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-
d̪z̪̤|dz̤	0	-	-	-	-	+	-	-	+	-	-	-	-	-	-	0	0	+	0	0	+	-	0	0	0	0	0	0	0	+	-	+	-	-	-	-	-
d̪z̪ʲ|dzʲ	0	-	-	-	-	+	-	-	+	-	-	-	-	-	-	0	0	+	0	0	+	+	+	-	+	-	0	0	0	+	-	-	-	-	-	-	-
d̪ˤ|dˤ	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	0	0	-	-	0	0	0	0	0	+	-	+	-	-	-	-	-	-	-
ɗ̪|ɗ	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	0	0	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	+	-
ʰs̪|ʰs	0	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	0	0	+	-	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-
l̪|l	0	-	-	-	-	+	+	+	0	+	-	-	-	+	-	0	0	+	0	0	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-
l̪̤|l̤	0	-	-	-	-	+	+	+	0	+	-	-	-	+	-	0	0	+	0	0	-	-	0	0	0	0	0	0	0	+	-	+	-	-	-	-	-
l̪̥|l̥	0	-	-	-	-	+	+	+	0	+	-	-	-	+	-	0	0	+	0	0	-	-	0	0	0	0	0	0	0	-	-	+	-	-	-	-	-
l̪̰|l̰	0	-	-	-	-	+	+	+	0	+	-	-	-	+	-	0	0	+	0	0	-	-	0	0	0	0	0	0	0	+	-	-	+	-	-	-	-
l̪ˠ|lˠ	0	-	-	-	-	+	+	+	0	+	-	-	-	+	-	0	0	+	0	0	-	+	+	-	-	+	0	0	0	+	-	-	-	-	-	-	-
l̪ʲ|lʲ	0	-	-	-	-	+	+	+	0	+	-	-	-	+	-	0	0	+	0	0	-	+	+	-	+	-	0	0	0	+	-	-	-	-	-	-	-
l̪ˤ|lˤ	0	-	-	-	-	+	+	+	0	+	-	-	-	+	-	0	0	+	0	0	-	-	0	0	0	0	0	+	-	+	-	-	-	-	-	-	-
ɬ̪|ɬ	0	-	-	-	-	+	-	+	+	-	-	-	-	+	-	0	0	+	0	0	-	-	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-
ɬ̪ː|ɬː	0	-	-	-	+	+	-	+	+	-	-	-	-	+	-	0	0	+	0	0	-	-	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-
ɬ̪ʲ|ɬʲ	0	-	-	-	-	+	-	+	+	-	-	-	-	+	-	0	0	+	0	0	-	+	+	-	+	-	0	0	0	-	-	-	-	-	-	-	-
ɬ̪ʷ|ɬʷ	0	-	-	-	-	+	-	+	+	-	-	-	-	+	+	+	0	+	0	0	-	-	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-
ɬ̪ʷː|ɬʷː	0	-	-	-	+	+	-	+	+	-	-	-	-	+	+	+	0	+	0	0	-	-	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-
ɬ̪ʼ|ɬʼ	0	-	-	-	-	+	-	+	+	-	-	-	-	+	-	0	0	+	0	0	-	-	0	0	0	0	0	0	0	-	-	-	+	-	+	-	-
ɮ̪|ɮ	0	-	-	-	-	+	-	+	+	-	-	-	-	+	-	0	0	+	0	0	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-
n̪|n	0	-	-	-	-	+	+	-	0	-	-	-	+	-	-	0	0	+	0	0	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-
n̪̤|n̤	0	-	-	-	-	+	+	-	0	-	-	-	+	-	-	0	0	+	0	0	-	-	0	0	0	0	0	0	0	+	-	+	-	-	-	-	-
n̪̥|n̥	0	-	-	-	-	+	+	-	0	-	-	-	+	-	-	0	0	+	0	0	-	-	0	0	0	0	0	0	0	-	-	+	-	-	-	-	-
n̪̰|n̰	0	-	-	-	-	+	+	-	0	-	-	-	+	-	-	0	0	+	0	0	-	-	0	0	0	0	0	0	0	+	-	-	+	-	-	-	-
n̪ː|nː	0	-	-	-	+	+	+	-	0	-	-	-	+	-	-	0	0	+	0	0	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-
n̪d̪|nd	0	-	-	-	-	+	+,-	-	-	-	-	-	+,-	-	-	0	0	+	0	0	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-
n̪d̪ʲ|ndʲ	0	-	-	-	-	+	+,-	-	-	-	-	-	+,-	-	-	0	0	+	0	0	-	+	+	-	+	-	0	0	0	+	-	-	-	-	-	-	-
n̪d̪ʷ|ndʷ	0	-	-	-	-	+	+,-	-	-	-	-	-	+,-	-	+	+	0	+	0	0	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-
n̪ʲ|nʲ	0	-	-	-	-	+	+	-	0	-	-	-	+	-	-	0	0	+	0	0	-	+	+	-	+	-	0	0	0	+	-	-	-	-	-	-	-
n̪s̪|ns	0	-	-	-	-	+	+,-	-,+	+	-	-	-	+,-	-	-	0	0	+	0	0	-,+	-	0	0	0	0	0	0	0	+,-	-	-	-	-	-	-	-
n̪t̪|nt	0	-	-	-	-	+	+,-	-	-	-	-	-	+,-	-	-	0	0	+	0	0	-	-	0	0	0	0	0	0	0	+,-	-	-	-	-	-	-	-
n̪t̪s̪|nts	0	-	-	-	-	+	+,-	-	+	-	-	-	+,-	-	-	0	0	+	0	0	+	-	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-
n̪ʷ|nʷ	0	-	-	-	-	+	+	-	0	-	-	-	+	-	+	+	0	+	0	0	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-
n̪z̪|nz	0	-	-	-	-	+	+,-	-,+	+	-	-	-	+,-	-	-	0	0	+	0	0	-,+	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-
r̪|r	0	-	-	-	-	+	+	+	0	+	-	+	-	-	-	0	0	+	0	0	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-
r͓̪|r͓	0	-	-	-	-	+	-	+	+	-	-	+	-	-	-	0	0	+	0	0	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-
r̪̥|r̥	0	-	-	-	-	+	+	+	0	+	-	+	-	-	-	0	0	+	0	0	-	-	0	0	0	0	0	0	0	-	-	+	-	-	-	-	-
r̪̰|r̰	0	-	-	-	-	+	+	+	0	+	-	+	-	-	-	0	0	+	0	0	-	-	0	0	0	0	0	0	0	+	-	-	+	-	-	-	-
r̪ˠ|rˠ	0	-	-	-	-	+	+	+	0	+	-	+	-	-	-	0	0	+	0	0	-	+	+	-	-	+	0	0	0	+	-	-	-	-	-	-	-
r̪ʲ|rʲ	0	-	-	-	-	+	+	+	0	+	-	+	-	-	-	0	0	+	0	0	-	+	+	-	+	-	0	0	0	+	-	-	-	-	-	-	-
r̪ˤ|rˤ	0	-	-	-	-	+	+	+	0	+	-	+	-	-	-	0	0	+	0	0	-	-	0	0	0	0	0	+	-	+	-	-	-	-	-	-	-
ɹ̪|ɹ	0	-	-	-	-	-	+	+	0	+	-	-	-	-	-	0	0	+	0	0	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-
ɹ̪̥|ɹ̥	0	-	-	-	-	-	+	+	0	+	-	-	-	-	-	0	0	+	0	0	-	-	0	0	0	0	0	0	0	-	-	+	-	-	-	-	-
ɺ̪|ɺ	0	-	-	-	-	+	+	+	0	+	+	-	-	+	-	0	0	+	0	0	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-
ɾ̪|ɾ	0	-	-	-	-	+	+	+	0	+	+	-	-	-	-	0	0	+	0	0	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-
ɾ̪ʲ|ɾʲ	0	-	-	-	-	+	+	+	0	+	+	-	-	-	-	0	0	+	0	0	-	+	+	-	+	-	0	0	0	+	-	-	-	-	-	-	-
s̪|s	0	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	0	0	+	-	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-
s̪ː|sː	0	-	-	-	+	+	-	+	+	-	-	-	-	-	-	0	0	+	0	0	+	-	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-
s̪ʰ|sʰ	0	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	0	0	+	-	0	0	0	0	0	0	0	-	-	+	-	-	-	-	-
s̪ʲ|sʲ	0	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	0	0	+	+	+	-	+	-	0	0	0	-	-	-	-	-	-	-	-
s̪ʷ|sʷ	0	-	-	-	-	+	-	+	+	-	-	-	-	-	+	+	0	+	0	0	+	-	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-
s̪ʷː|sʷː	0	-	-	-	+	+	-	+	+	-	-	-	-	-	+	+	0	+	0	0	+	-	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-
s̪ʼ|sʼ	0	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	0	0	+	-	0	0	0	0	0	0	0	-	-	-	+	-	+	-	-
s̪ˤ|sˤ	0	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	0	0	+	-	0	0	0	0	0	+	-	-	-	-	-	-	-	-	-
t̪|t	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	0	0	-	-	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-
t̪ː|tː	0	-	-	-	+	+	-	-	-	-	-	-	-	-	-	0	0	+	0	0	-	-	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-
t̪ˠʰ|tˠʰ	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	0	0	-	+	+	-	-	+	0	0	0	-	-	+	-	-	-	-	-
t̪ʰ|tʰ	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	0	0	-	-	0	0	0	0	0	0	0	-	-	+	-	-	-	-	-
t̪ɦ|tɦ	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	0	0	-	-	0	0	0	0	0	0	0	-	-	+	-	-	-	-	-
t̪ʲ|tʲ	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	0	0	-	+	+	-	+	-	0	0	0	-	-	-	-	-	-	-	-
t̪ʲʰ|tʲʰ	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	0	0	-	+	+	-	+	-	0	0	0	-	-	+	-	-	-	-	-
t̪ɬ̪|tɬ	0	-	-	-	-	+	-	-	+	-	-	-	-	+	-	0	0	+	0	0	-	-	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-
t̪ɬ̪ː|tɬː	0	-	-	-	+	+	-	-	+	-	-	-	-	+	-	0	0	+	0	0	-	-	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-
t̪ɬ̪ʰ|tɬʰ	0	-	-	-	-	+	-	-	+	-	-	-	-	+	-	0	0	+	0	0	-	-	0	0	0	0	0	0	0	-	-	+	-	-	-	-	-
